,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시도명,시군구명,행정동명,법정동명,도로명주소,경도,위도,상호명_소문자,브랜드명
24719,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강동구,천호2동,천호동,서울특별시 강동구 천호대로157길 19,127.127021430163,37.5387875765447,스타벅스,스타벅스
26128,이디야서대문점2호,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,천연동,냉천동,서울특별시 서대문구 통일로 141,126.965217701593,37.5669176328747,이디야서대문점2호,이디야
28023,이디아,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 가로공원로76길 61,126.838252633841,37.5344165569881,이디아,이디야
28339,스타벅스커피홍대역,음식,커피점/카페,커피전문점/카페/다방,서울특별시,마포구,서교동,동교동,서울특별시 마포구 양화로 165,126.923599454067,37.5572017356505,스타벅스커피홍대역,스타벅스
30479,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,소공동,태평로2가,서울특별시 중구 남대문로1길 57-1,126.977555664865,37.5636372174317,이디야커피,이디야
36368,이디아커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,화곡3동,화곡동,서울특별시 강서구 화곡로 133,126.83647852294,37.5408234671284,이디아커피,이디야
36822,이디아,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성북구,종암동,종암동,서울특별시 성북구 종암로 105,127.033936945796,37.5995230359981,이디아,이디야
37187,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,논현1동,논현동,서울특별시 강남구 도산대로 108,127.020634740018,37.5161838031466,스타벅스,스타벅스
39735,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,화곡1동,화곡동,서울특별시 강서구 강서로13길 3,126.846035970796,37.5322853352387,스타벅스,스타벅스
39835,스타벅스올림픽평화의문점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,방이2동,방이동,서울특별시 송파구 위례성대로 38,127.116316775923,37.5157850739286,스타벅스올림픽평화의문점,스타벅스
39845,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,영등포구,문래동,문래동3가,서울특별시 영등포구 당산로 34,126.89647871302,37.5174497816404,스타벅스,스타벅스
39847,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,마포구,대흥동,신수동,서울특별시 마포구 백범로 23,126.937543279963,37.552426380667,스타벅스,스타벅스
40014,EDIYA커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,논현2동,논현동,서울특별시 강남구 선릉로 661,127.041569691491,37.5155806321161,ediya커피,이디야
40478,스타벅스새문안로점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,사직동,신문로1가,서울특별시 종로구 새문안로 92,126.974868861844,37.5697229770514,스타벅스새문안로점,스타벅스
40570,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,금천구,가산동,가산동,서울특별시 금천구 가산디지털1로 196,126.881269655342,37.4829589044718,이디야커피,이디야
41002,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동작구,대방동,대방동,서울특별시 동작구 여의대방로 194,126.922245141657,37.5042531290316,이디야커피,이디야
41091,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,서린동,서울특별시 종로구 청계천로 41,126.982159843769,37.5696599190406,스타벅스,스타벅스
41501,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,도봉구,쌍문2동,쌍문동,서울특별시 도봉구 도봉로 519,127.03630679868,37.6519376946777,이디야커피,이디야
42236,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,삼성1동,삼성동,서울특별시 강남구 영동대로 513,127.057100286394,37.5129393969289,스타벅스,스타벅스
42640,스타벅스연신내역,음식,커피점/카페,커피전문점/카페/다방,서울특별시,은평구,대조동,대조동,서울특별시 은평구 연서로 216,126.920109807595,37.6178004460527,스타벅스연신내역,스타벅스
43064,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,필동,충무로3가,서울특별시 중구 퇴계로27길 31,126.991232454259,37.5625564857212,이디야커피,이디야
43947,스타벅스연세백양로점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 연세로 50,126.942916817516,37.5638006863037,스타벅스연세백양로점,스타벅스
44130,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,잠실본동,잠실동,서울특별시 송파구 백제고분로7길 58,127.085214665766,37.5106645559686,이디야커피,이디야
44810,스타벅스가락시장역점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,가락본동,가락동,서울특별시 송파구 중대로 121,127.121533304074,37.4944057821458,스타벅스가락시장역점,스타벅스
44836,스타벅스외대점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동대문구,이문1동,이문동,서울특별시 동대문구 휘경로 12-1,127.061378960488,37.5957258221365,스타벅스외대점,스타벅스
46151,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 은행로 11,126.920219188165,37.527905068142,스타벅스,스타벅스
46827,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,노원구,월계1동,월계동,서울특별시 노원구 광운로 29,127.058407824624,37.6203185920224,이디야커피,이디야
47175,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동작구,신대방2동,신대방동,서울특별시 동작구 보라매로5길 43,126.923356791891,37.4914233391678,스타벅스,스타벅스
47323,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,명동,명동2가,서울특별시 중구 명동10길 20,126.985273490838,37.562937919186,이디야커피,이디야
47586,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,서초4동,서초동,서울특별시 서초구 강남대로 399,127.026828896545,37.4982589797032,스타벅스,스타벅스
47806,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,대치1동,대치동,서울특별시 강남구 도곡로 408,127.055213389641,37.496615204091,스타벅스,스타벅스
48219,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성북구,월곡2동,하월곡동,서울특별시 성북구 화랑로 76,127.040441763055,37.6018196933437,스타벅스,스타벅스
48372,스타벅스명지대점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,남가좌2동,남가좌동,서울특별시 서대문구 거북골로 53,126.92232239793,37.5782833640608,스타벅스명지대점,스타벅스
49119,스타벅스석촌역,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,석촌동,석촌동,서울특별시 송파구 백제고분로 358,127.106013406608,37.5042460725183,스타벅스석촌역,스타벅스
49326,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 121,126.939277954266,37.5561993158556,스타벅스,스타벅스
49426,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,소공동,순화동,서울특별시 중구 통일로 92,126.969202890528,37.5635826036441,스타벅스,스타벅스
50161,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,서초1동,서초동,서울특별시 서초구 남부순환로339길 64,127.021572760891,37.4859161526789,스타벅스,스타벅스
50193,스타벅스압구정로데오역,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,청담동,청담동,서울특별시 강남구 선릉로 836,127.040513119755,37.5265378643378,스타벅스압구정로데오역,스타벅스
50348,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 이화여대길 52,126.950301476769,37.5642810556138,스타벅스,스타벅스
50465,이디야커피전농뉴타운점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동대문구,전농1동,전농동,서울특별시 동대문구 답십리로 77,127.049604240039,37.5750607679141,이디야커피전농뉴타운점,이디야
51030,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,은평구,불광1동,불광동,서울특별시 은평구 불광로 128,126.933289862075,37.6181455875127,이디야커피,이디야
51064,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,황학동,황학동,서울특별시 중구 청계천로 400,127.021448203321,37.5708030625306,이디야커피,이디야
51091,스타벅스연대동문,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,대신동,서울특별시 서대문구 성산로 565,126.946321109963,37.5664080915476,스타벅스연대동문,스타벅스
51440,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,삼성1동,삼성동,서울특별시 강남구 학동로 506,127.051439622604,37.518687851269,스타벅스,스타벅스
51810,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,논현2동,논현동,서울특별시 강남구 선릉로 669,127.041239849867,37.5166051560388,스타벅스,스타벅스
51935,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,등촌3동,등촌동,서울특별시 강서구 공항대로 329,126.844334259983,37.5582364999702,스타벅스,스타벅스
52042,스타벅스서울대입구역점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,관악구,청룡동,봉천동,서울특별시 관악구 남부순환로 1812,126.951319198625,37.4811055353469,스타벅스서울대입구역점,스타벅스
52244,스타벅스신림점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,관악구,신림동,신림동,서울특별시 관악구 신림로 355-1,126.929154905595,37.4860877636316,스타벅스신림점,스타벅스
52253,이디아이박정어학원,학문/교육,학원-어학,학원-외국어/어학,서울특별시,마포구,서교동,노고산동,서울특별시 마포구 신촌로 94,126.935978990943,37.5549892689804,이디아이박정어학원,이디야
52340,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,양재2동,양재동,서울특별시 서초구 동산로 60,127.045397700723,37.4716851007454,이디야커피,이디야
52368,스타벅스강남삼성타운점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,서초2동,서초동,서울특별시 서초구 서초대로78길 24,127.027735014225,37.4955362431632,스타벅스강남삼성타운점,스타벅스
53223,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,용산구,한남동,한남동,서울특별시 용산구 대사관로 67,127.00563260758,37.5334126703028,스타벅스,스타벅스
53230,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성동구,성수1가2동,성수동1가,서울특별시 성동구 상원4길 4,127.048801793851,37.5473561138639,이디야커피,이디야
53264,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성북구,월곡2동,하월곡동,서울특별시 성북구 화랑로13길 28,127.042263523491,37.6045916750418,이디야커피,이디야
53401,스타벅스사당점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,관악구,남현동,남현동,서울특별시 관악구 남부순환로 2082-25,126.981000032052,37.4760490313049,스타벅스사당점,스타벅스
53415,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 역삼로 123,127.033000493348,37.494128761553,스타벅스,스타벅스
53536,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성북구,안암동,안암동5가,서울특별시 성북구 인촌로 102-2,127.030747660126,37.5860984036961,스타벅스,스타벅스
53696,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,소공동,충정로1가,서울특별시 중구 새문안로 22,126.968622139719,37.5671186223597,스타벅스,스타벅스
53947,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,구의2동,구의동,서울특별시 광진구 광나루로 519,127.087179393284,37.5452982782211,스타벅스,스타벅스
54823,스타벅스광장점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,광장동,광장동,서울특별시 광진구 아차산로 537-17,127.099644411941,37.5429521266911,스타벅스광장점,스타벅스
54942,이디아,음식,유흥주점,빠/카페/스탠드빠,서울특별시,성동구,용답동,용답동,서울특별시 성동구 천호대로 426,127.066253530676,37.5608579726913,이디아,이디야
55236,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,영등포구,문래동,문래동3가,서울특별시 영등포구 선유로 64,126.889681386224,37.5196567010522,스타벅스,스타벅스
55487,스타벅스신촌명물거리점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 명물길 24,126.938123543095,37.5577927897877,스타벅스신촌명물거리점,스타벅스
55922,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,가양3동,가양동,서울특별시 강서구 양천로 559,126.861799100259,37.5581809080942,스타벅스,스타벅스
56069,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강북구,송천동,미아동,서울특별시 강북구 솔샘로 257,127.021489538017,37.6195316618627,이디야커피,이디야
56074,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,구로구,구로1동,구로동,서울특별시 구로구 구일로 110,126.871996950456,37.4950618711908,이디야커피,이디야
56438,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,신당동,신당동,서울특별시 중구 다산로35길 11,127.014831070946,37.5635306643161,이디야커피,이디야
56676,스타벅스명동미래,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,명동,명동1가,서울특별시 중구 명동7길 8,126.984532402493,37.5641659751905,스타벅스명동미래,스타벅스
56740,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,은평구,녹번동,녹번동,서울특별시 은평구 진흥로 156,126.926957295701,37.6087264624303,이디야커피,이디야
56845,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,신당동,흥인동,서울특별시 중구 퇴계로 385,127.014331146174,37.5653916533212,스타벅스,스타벅스
56919,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,화양동,화양동,서울특별시 광진구 광나루로 380,127.071862172364,37.547611713021,이디야커피,이디야
56970,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,대치1동,대치동,서울특별시 강남구 남부순환로 2936,127.06190405786,37.4933436201599,스타벅스,스타벅스
57639,스타벅스건국클래식점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 90,127.070902015585,37.53835036397,스타벅스건국클래식점,스타벅스
57802,이디아커피선릉아이빌점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,대치4동,대치동,서울특별시 강남구 삼성로85길 38,127.054186134766,37.5045362823695,이디아커피선릉아이빌점,이디야
57910,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,잠실본동,잠실동,서울특별시 송파구 백제고분로 69,127.079029120505,37.510526383519,스타벅스,스타벅스
58552,스타벅스연희DT점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,연희동,연희동,서울특별시 서대문구 연희로 144,126.933883655016,37.5701889114964,스타벅스연희dt점,스타벅스
58600,스타벅스삼선교점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성북구,삼선동,동소문동2가,서울특별시 성북구 동소문로 10,127.007320332261,37.5887239609069,스타벅스삼선교점,스타벅스
59115,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중랑구,묵1동,묵동,서울특별시 중랑구 동일로 932,127.077541387095,37.6138290492447,스타벅스,스타벅스
59690,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강동구,명일1동,명일동,서울특별시 강동구 상암로 210,127.145776117912,37.5462953721236,이디야커피,이디야
60022,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,잠실6동,신천동,서울특별시 송파구 송파대로 562,127.099535260634,37.5153249372707,스타벅스,스타벅스
60350,스타벅스커피여의도호성,음식,커피점/카페,커피전문점/카페/다방,서울특별시,영등포구,여의동,여의도동,서울특별시 영등포구 여의대방로65길 24,126.929275063441,37.5204367716676,스타벅스커피여의도호성,스타벅스
61302,스타벅스충정타워,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,충현동,충정로3가,서울특별시 서대문구 서소문로 21,126.964069882556,37.5598884579046,스타벅스충정타워,스타벅스
61354,스타벅스올림픽공원북문점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강동구,성내1동,성내동,서울특별시 강동구 강동대로 171,127.125932145036,37.5254709132425,스타벅스올림픽공원북문점,스타벅스
61503,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,방배4동,방배동,서울특별시 서초구 방배로 184,126.99245761598,37.4900145248382,스타벅스,스타벅스
61674,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성북구,안암동,안암동5가,서울특별시 성북구 안암로 145,127.031701809695,37.5884849860916,스타벅스,스타벅스
61802,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,회현동,남대문로5가,서울특별시 중구 소월로 10,126.975395770913,37.5585276043331,스타벅스,스타벅스
62295,스타벅스종각점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,종로1.2.3.4가동,종로2가,서울특별시 종로구 종로 64,126.984521790682,37.5699505724323,스타벅스종각점,스타벅스
63101,스타벅스이수역점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,방배4동,방배동,서울특별시 서초구 동작대로 112,126.982689936644,37.4864978042431,스타벅스이수역점,스타벅스
63361,스타벅스방배카페입구,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,방배본동,방배동,서울특별시 서초구 방배중앙로 204,126.985676893834,37.4972370082012,스타벅스방배카페입구,스타벅스
63544,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,수서동,수서동,서울특별시 강남구 밤고개로1길 10,127.101842066177,37.4880133628924,스타벅스,스타벅스
63593,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,삼성2동,삼성동,서울특별시 강남구 삼성로 605,127.052704674305,37.5134718899824,스타벅스,스타벅스
65367,이디아,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,화곡6동,화곡동,서울특별시 강서구 화곡로 292,126.848757193059,37.5503055677773,이디아,이디야
65452,스타벅스W-MALL점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,금천구,가산동,가산동,서울특별시 금천구 디지털로 188,126.887662548608,37.4773156374838,스타벅스w-mall점,스타벅스
65952,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,명동,을지로2가,서울특별시 중구 을지로 50,126.983312623474,37.5656331860355,스타벅스,스타벅스
66476,이디야커피이대역점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,대현동,서울특별시 서대문구 신촌로 177,126.94558154972,37.5570396853905,이디야커피이대역점,이디야
66489,이디아커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,신촌동,서울특별시 서대문구 신촌역로 30,126.942373274107,37.5598132236028,이디아커피,이디야
68261,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,송파구,오금동,오금동,서울특별시 송파구 오금로 407,127.136570578508,37.4986344980864,이디야커피,이디야
68364,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,논현2동,논현동,서울특별시 강남구 언주로 650,127.035741342646,37.5149114670439,스타벅스,스타벅스
68822,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,구의1동,구의동,서울특별시 광진구 자양로 136,127.083388022568,37.5397814997975,이디야커피,이디야
69134,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강서구,화곡3동,화곡동,서울특별시 강서구 강서로45길 5,126.835803555792,37.5478448766996,이디야커피,이디야
69173,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,성동구,옥수동,옥수동,서울특별시 성동구 한림말5길 9,127.01669865018,37.5420022181537,이디야커피,이디야
69508,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,자양3동,자양동,서울특별시 광진구 능동로 50,127.069158822263,37.5356695214728,스타벅스,스타벅스
70672,스타벅스마포일진빌딩점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,마포구,용강동,도화동,서울특별시 마포구 마포대로 45,126.946358128038,37.5404674503959,스타벅스마포일진빌딩점,스타벅스
70838,스타벅스천호로데오점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강동구,천호3동,천호동,서울특별시 강동구 천호대로 1037,127.12731542401,37.5378346304637,스타벅스천호로데오점,스타벅스
71468,스타벅스명동메트로,음식,커피점/카페,커피전문점/카페/다방,서울특별시,중구,명동,을지로2가,서울특별시 중구 명동9가길 14,126.983715734748,37.5651230629393,스타벅스명동메트로,스타벅스
72448,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 테헤란로 134,127.033792423212,37.4993703754632,스타벅스,스타벅스
72498,스타벅스용산역점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,용산구,한강로동,한강로3가,서울특별시 용산구 한강대로21나길 7,126.963222625326,37.527902979157,스타벅스용산역점,스타벅스
72552,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,종로구,가회동,계동,서울특별시 종로구 북촌로4길 23,126.986453481237,37.579437112041,스타벅스,스타벅스
73031,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강북구,번1동,번동,서울특별시 강북구 도봉로 342,127.026107842176,37.6380230767307,스타벅스,스타벅스
73312,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,일원2동,개포동,서울특별시 강남구 개포로109길 34,127.077635139267,37.494197347193,이디야커피,이디야
73398,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동대문구,전농2동,전농동,서울특별시 동대문구 사가정로 132,127.059500885442,37.5775908744167,이디야커피,이디야
73517,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 테헤란로 142,127.034941231236,37.4997401884001,스타벅스,스타벅스
73790,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,도봉구,창2동,창동,서울특별시 도봉구 덕릉로 235,127.038095090275,37.6389323507554,이디야커피,이디야
74013,스타벅스마포아크로타워점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,마포구,도화동,도화동,서울특별시 마포구 마포대로 68,126.949139204869,37.5414563490381,스타벅스마포아크로타워점,스타벅스
74224,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,서초3동,서초동,서울특별시 서초구 남부순환로 2395,127.012347140463,37.4806673259512,스타벅스,스타벅스
74743,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동작구,상도2동,상도동,서울특별시 동작구 상도로 193,126.940191100881,37.5052805123614,이디야커피,이디야
74759,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,반포1동,반포동,서울특별시 서초구 강남대로 483,127.023626959081,37.5053148456229,스타벅스,스타벅스
74882,스타벅스중계역점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,노원구,상계6.7동,상계동,서울특별시 노원구 동일로 1339,127.06215871021,37.6481544698442,스타벅스중계역점,스타벅스
76774,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서초구,반포4동,반포동,서울특별시 서초구 서래로 48,126.998542320991,37.4992570081851,스타벅스,스타벅스
76974,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,동대문구,장안1동,장안동,서울특별시 동대문구 장한로 10,127.065476564871,37.562347565346,스타벅스,스타벅스
76999,이디야커피자양동점,음식,커피점/카페,커피전문점/카페/다방,서울특별시,광진구,자양2동,자양동,서울특별시 광진구 자양로 46,127.085936322936,37.5321783405397,이디야커피자양동점,이디야
77174,스타벅스,음식,커피점/카페,커피전문점/카페/다방,서울특별시,서대문구,신촌동,창천동,서울특별시 서대문구 신촌로 129,126.94031422834,37.5565510166296,스타벅스,스타벅스
77221,이디야커피,음식,커피점/카페,커피전문점/카페/다방,서울특별시,강남구,역삼1동,역삼동,서울특별시 강남구 테헤란로25길 17,127.035220242035,37.5017878629869,이디야커피,이디야
