TM,CA_TOT,HM_AVG,RN_DAY
20150330,0.4,49.9,-9
20150331,8.6,80.6,3.5
20150401,9.4,81.6,1
20150402,7.4,67.4,8.5
20150403,7.9,82.5,15
20150404,7.1,62.6,10
20150405,10,92.6,2.5
20150406,9.4,74.4,1
20150407,8.8,67.6,3
20150408,7.9,55.9,-9
20150409,4,49.8,-9
20150410,0,43.8,-9
20150411,0.5,37.8,-9
20150412,7.4,36,-9
20150413,9.8,61.9,4
20150414,10,79.8,8
20150415,4.8,68.6,3.5
20150416,2.6,63.6,3.5
20150417,1,41.9,-9
20150418,5.9,41.4,0
20150419,10,96.5,20.5
20150420,7.9,88.4,15
20150421,3.6,61,-9
20150422,3.5,43.5,-9
20150423,3.4,45.3,-9
20150424,2.9,30.8,-9
20150425,0,30.3,-9
20150426,0,33,-9
20150427,1.8,29.6,-9
20150428,7.5,49.3,0.1
20150429,9.9,79.3,13.5
20150430,4.9,60.3,-9
20150501,2,61.3,-9
20150502,7.3,60.9,-9
20150503,10,83,4
20150504,2.8,48.6,-9
20150505,0,38.5,-9
20150506,6.9,38.9,-9
20150507,4.5,35.8,-9
20150508,6.8,46.8,0
20150509,4.8,50.3,-9
20150510,0.4,48.8,-9
20150511,7,63.3,8
20150512,5.6,70,11
20150513,0.9,47,-9
20150514,3.9,48.9,-9
20150515,8.4,74.9,-9
20150516,0.3,49.1,-9
20150517,5.1,39.9,-9
20150518,7.6,50.6,-9
20150519,8,73.3,0.4
20150520,0.5,57.8,-9
20150521,1.6,45,-9
20150522,4.1,37.9,-9
20150523,4,35.3,-9
20150524,0,28.9,-9
20150525,0,35,-9
20150526,0,40.1,-9
20150527,2.4,28.9,-9
20150528,3.8,30.5,-9
20150529,5.4,34.4,-9
20150530,7,63,1
20150531,6.1,54.4,-9
20150601,5.1,42.8,-9
20150602,7.4,45.6,-9
20150603,3.5,38,-9
20150604,4.9,32.8,-9
20150605,6.8,47.5,0.3
20150606,2.8,44.8,-9
20150607,3.1,41.5,-9
20150608,8.4,46.3,-9
20150609,5.1,55.4,-9
20150610,3.4,47.9,-9
20150611,8.5,55.6,2
20150612,4.1,50.4,0.5
20150613,6,40.8,-9
20150614,7.3,60.3,1
20150615,7.9,56.5,-9
20150616,6.8,55.9,-9
20150617,8.1,66,-9
20150618,6.6,43.6,-9
20150619,6,49.9,1.5
20150620,9.6,81.5,13.5
20150621,5.6,59.3,-9
20150622,7.1,58.8,-9
20150623,4.8,51.6,-9
20150624,7.7,66.5,10.5
20150625,8.9,72.9,8.5
20150626,9.6,76.1,45.5
20150627,5,57.9,-9
20150628,4,56.4,-9
20150629,6.4,52.8,-9
20150630,9.4,61.8,0
20150701,5.6,59.9,0
20150702,5.3,55.4,-9
20150703,3.4,50.9,-9
20150704,3.8,47,-9
20150705,4.4,51.4,-9
20150706,6.9,56.3,0.1
20150707,9.8,66.8,4.5
20150708,10,85.9,9
20150709,10,74.4,16
20150710,5.6,59.4,-9
20150711,7.6,65.1,0.5
20150712,10,72.8,11.5
20150713,9.6,75.8,1
20150714,5.4,63.9,-9
20150715,5.6,63,-9
20150716,3.8,49,-9
20150717,7.9,50.1,-9
20150718,9.8,64.8,-9
20150719,7.9,74.9,0.2
20150720,7.4,64,-9
20150721,9,76.3,2
20150722,8.5,80.4,14
20150723,9.3,84.3,37.5
20150724,10,92.6,30
20150725,9.8,71.9,0.1
20150726,4.4,60.4,-9
20150727,9,75.4,0
20150728,6.6,72,-9
20150729,7.3,81.6,15
20150730,4.5,69,-9
20150731,2.3,65.8,-9
20150801,4.5,62.8,-9
20150802,8.5,69.8,3.5
20150803,3.3,61,-9
20150804,1.6,59.1,-9
20150805,3,60.9,-9
20150806,2.6,58.3,-9
20150807,2.4,58.1,-9
20150808,4.9,72.5,10
20150809,7.3,68.6,-9
20150810,8.6,70.4,-9
20150811,9.5,71.8,-9
20150812,5.4,53.6,0
20150813,5.3,62.9,-9
20150814,3.3,61.6,-9
20150815,4,62.8,-9
20150816,7,68.6,-9
20150817,3.1,59.3,-9
20150818,6.9,52.4,-9
20150819,9,56.6,0
20150820,9.9,71.3,0.5
20150821,7.6,72.1,3.5
20150822,8.6,73.6,1.5
20150823,8.1,64.4,-9
20150824,8.6,55.3,-9
20150825,10,86.9,35
20150826,6.5,59.9,-9
20150827,6,70.1,0.1
20150828,5.6,72.6,0.2
20150829,2.9,61.1,-9
20150830,2.8,56.6,-9
20150831,3.8,56.9,-9
20150901,7.4,58,-9
20150902,8.5,70.5,1.5
20150903,6.4,66.8,0.1
20150904,6.3,59.4,-9
20150905,9.6,76,3
20150906,6.1,64.3,-9
20150907,1.5,52.6,-9
20150908,0,48,-9
20150909,0,42.9,-9
20150910,0.3,52.5,-9
20150911,6,77.1,10
20150912,8.5,77.1,5
20150913,1.4,58.4,0.5
20150914,3.1,52.3,-9
20150915,3.5,44.8,-9
20150916,6.6,52.4,-9
20150917,3.1,52.4,-9
20150918,2.8,52.6,-9
20150919,2.3,57.4,-9
20150920,3.3,60.5,-9
20150921,0.4,57,-9
20150922,0,45.8,-9
20150923,6.6,58.1,-9
20150924,6.1,63.1,-9
20150925,4.4,60.4,-9
20150926,4,62.9,-9
20150927,0,56.1,-9
20150928,3.5,42.8,-9
20150929,2.8,40.6,-9
20150930,8.4,42.4,-9
20151001,8.5,77.9,42
20151002,1.4,48.9,-9
20151003,2.5,53.4,-9
20151004,6.3,38.5,-9
20151005,1.5,48.6,-9
20151006,0,49.3,-9
20151007,5,54.6,-9
20151008,4.1,61.4,-9
20151009,2.6,44.3,0
20151010,6.3,72.5,14.5
20151011,7.3,84.4,8
20151012,4.1,62,0.5
20151013,0.9,58,-9
20151014,1.1,60.6,-9
20151015,1.9,61.6,-9
20151016,2.6,71.5,-9
20151017,2.5,69,-9
20151018,0.3,65.3,-9
20151019,2.6,62.6,-9
20151020,3,76,-9
20151021,0,71.4,-9
20151022,1.4,66.5,-9
20151023,4.5,70.5,-9
20151024,5.3,73.1,0.5
20151025,1.1,50.8,-9
20151026,7.3,43.4,-9
20151027,6.6,63.5,25
20151028,2.4,50.4,-9
20151029,4.5,35.4,-9
20151030,1,39.4,-9
20151031,0.3,43.4,-9
20151101,7.4,58.9,-9
20151102,3.5,56,-9
20151103,1.3,62.4,-9
20151104,1.6,59.1,-9
20151105,2.9,58,-9
20151106,6.6,60.9,0.5
20151107,10,90.8,17.5
20151108,10,95.4,17
20151109,9,79.3,1
20151110,6.4,66.9,-9
20151111,5.6,67,-9
20151112,6.5,64.6,-9
20151113,10,78.9,25
20151114,9.6,89.5,3
20151115,7.5,72.8,-9
20151116,9.1,86.6,12.5
20151117,8,88.5,1
20151118,9.1,70.3,3
20151119,8.1,78.9,0.5
20151120,7.9,76.9,-9
20151121,7.3,69.1,-9
20151122,7.5,66.6,1
20151123,9.9,90.8,9
20151124,9.6,69.3,1.5
20151125,9.9,83.4,10.5
20151126,8.5,79.9,4.2
20151127,8.4,71.1,0
20151128,7.5,75.1,-9
20151129,8.8,79.8,0
20151130,4.8,68.3,0.3
20151201,1.6,66.3,-9
20151202,7.8,73.3,7.5
20151203,8.5,84.4,8.8
20151204,8.1,81.5,0.7
20151205,7.5,58.4,-9
20151206,5.5,50.9,-9
20151207,4,62.5,-9
20151208,0.8,56.4,-9
20151209,5.4,63.4,-9
20151210,9.8,82.1,8.7
20151211,6,62.6,-9
20151212,3,49.5,-9
20151213,6,53.3,-9
20151214,10,85.3,9.2
20151215,7.9,66.9,0.7
20151216,7.1,72.4,2.6
20151217,1.9,46,0
20151218,6,66.9,-9
20151219,0.4,65.8,-9
20151220,7,63.6,-9
20151221,7.9,80,0.6
20151222,8.9,78.4,-9
20151223,8.9,88.1,0.2
20151224,6.8,74.3,-9
20151225,1.4,32,-9
20151226,2.1,61.5,0.1
20151227,0,40.6,-9
20151228,2.1,36.5,-9
20151229,3,47.3,-9
20151230,4.3,61,0.6
20151231,4,72.3,-9
